Date,Client_Future Index Long,Client_Future Index Short,Client_Option Index Call Long,Client_Option Index Put Long,Client_Option Index Call Short,Client_Option Index Put Short,DII_Future Index Long,DII_Future Index Short,DII_Option Index Call Long,DII_Option Index Put Long,DII_Option Index Call Short,DII_Option Index Put Short,FII_Future Index Long,FII_Future Index Short,FII_Option Index Call Long,FII_Option Index Put Long,FII_Option Index Call Short,FII_Option Index Put Short,Total Call Options - Open Interest BANK NIFTY INDEX,Total Put Options - Open Interest BANK NIFTY INDEX,Total Futures - Open Interest BANK NIFTY INDEX,Price - BANK NIFTY INDEX,Returns - BANK NIFTY INDEX,NSE VIX - India,is_expiry,Total_OI
7/1/2024,280283,540700,7044862,7385317,7245776,7461158,89364,143606,2078,224973,0,0,443366,93293,1322382,1469038,1137099,1402755,5699894,6863148,253434,52870.5,0.005015346,14.045,0,44807846
7/2/2024,281556,540300,7857583,7275024,7938098,7453648,90005,143580,2078,225033,0,0,443680,96727,1422744,1391060,1295518,1384023,2577362,2493248,181586,52811.3,-0.001120344,14.1525,0,46826968
7/3/2024,275573,560357,5420641,6650120,5868355,6864141,79449,143580,2078,225679,0,0,471102,92307,1242396,1314003,951574,1189898,3841844,2723676,183072,52342.25,-0.008921299,13.8025,0,38696020
7/4/2024,268858,564727,4058927,4786693,4602285,5171501,80349,143155,2078,235679,0,0,486382,94225,1070395,1212745,602928,922564,4184889,3822163,189122,52574.75,0.004432082,13.83,0,30988588
7/5/2024,259895,540219,6022367,5689834,6953905,6563141,80461,144155,2078,246782,0,0,476055,91721,1655570,1737430,968897,1129381,5462346,4099123,184462,52168.1,-0.007764769,13.64,0,40107550
7/8/2024,269673,538255,6969623,6046122,7497103,6760943,80408,145695,2078,278356,0,0,468797,91786,1777969,1697646,1104500,1217668,5741549,6423989,209858,53089.25,0.017503263,13.205,0,43598776
7/9/2024,268979,542091,7133705,6768306,7537122,7340588,75173,151875,2078,336067,0,0,479327,93384,1764808,1632369,1349493,1294798,2426501,2721948,212094,53103.7,0.000272146,12.855,0,45452768
7/10/2024,272784,500463,6243139,5118310,6741013,5998235,77708,153975,2078,394578,0,0,453115,114909,1464294,1393275,1032228,1019593,3731345,2916816,198620,52660.35,-0.008383805,12.695,0,38608240
7/11/2024,277616,485702,4172588,4387451,4589395,4871282,77385,153975,2078,394667,0,0,425753,119261,896742,915632,762629,939976,4517341,3192501,197735,52425.8,-0.004463964,13.6,0,30524464
7/12/2024,283914,498083,5439626,5774527,5846280,6234567,77461,158275,2078,393972,0,0,442399,115144,1129256,1230079,1101752,1245606,5303021,3661669,197490,52568.8,0.002723951,14.28,0,37757516
7/15/2024,293119,519740,5884091,7350039,6478696,7725254,78083,153150,2078,394903,0,0,459690,111862,1280833,1524314,1085181,1411720,7459480,4640496,180791,52189.3,-0.007245295,14.4325,0,43439750
7/16/2024,308127,525133,4821269,5620987,5483182,6283404,77797,157667,2078,395300,0,0,455157,107814,1076665,1273969,749357,1051230,2674692,2381004,168004,52270.65,0.001557535,13.995,0,35279268
