Date,Client_Future Index Long,Client_Future Index Short,Client_Option Index Call Long,Client_Option Index Put Long,Client_Option Index Call Short,Client_Option Index Put Short,DII_Future Index Long,DII_Future Index Short,DII_Option Index Call Long,DII_Option Index Put Long,DII_Option Index Call Short,DII_Option Index Put Short,FII_Future Index Long,FII_Future Index Short,FII_Option Index Call Long,FII_Option Index Put Long,FII_Option Index Call Short,FII_Option Index Put Short,Total Call Options - Open Interest BANK NIFTY INDEX,Total Put Options - Open Interest BANK NIFTY INDEX,Total Futures - Open Interest BANK NIFTY INDEX,Price - BANK NIFTY INDEX,Returns - BANK NIFTY INDEX,NSE VIX - India,is_expiry,Total_OI
3/27/2025,139548,130712,1391099,1364232,1558619,1578492,98456,40385,70,69034,0,0,60054,90609,389855,462358,237666,265151,1080019,1366077,146334,50593.55,0.010544882,12.575,0,10927760
3/28/2025,147847,125039,2055302,1730962,2119721,1891638,98524,40485,70,66034,0,0,57268,106275,522689,657809,447317,507011,1219653,1508884,144623,51704.95,0.021729424,13.7,0,14137494
4/1/2025,133199,101667,2917069,1890704,2812296,2070779,98598,31530,70,65034,0,0,52618,119196,734407,764881,661834,565955,1398904,1440543,145129,51607.95,-0.001877791,13.635,0,17154510
4/2/2025,126530,101002,2785031,2526194,2720587,2550073,100831,31780,27103,74292,0,0,57222,119551,791731,807159,770224,714252,1517209,1341251,145984,51209,-0.007760433,13.47,0,19157626
4/3/2025,130655,99983,1509366,1561620,1701607,1816360,108230,31780,70,61796,0,0,55484,128674,541358,616140,314625,375572,1548646,1459249,152953,51575.85,0.007138242,13.3,0,12052276
4/4/2025,138245,97731,2665107,1830648,2862575,2241163,107558,31837,70,73186,0,0,59842,146434,876183,803645,594554,448198,528074,501124,116937,51564.85,-0.000213301,12.7175,0,16632168
4/7/2025,141352,103397,2449794,1528976,2717023,1959304,104612,27995,70,57296,0,0,54417,162032,968628,920621,630978,518369,603195,528317,87946,50827.5,-0.014402692,13.7825,0,16744894
4/8/2025,138801,103741,2514336,1868823,2901378,2480970,107388,28235,220,55897,0,0,51486,160615,1166267,1170381,636350,562782,620446,585518,86040,51348.05,0.010189414,13.7225,0,18444922
4/9/2025,147877,104917,1716032,1205481,1912952,1669147,106642,27969,310,47476,0,0,44013,159848,736429,845424,411806,409603,677220,693174,90057,51597.35,0.004843354,13.6,0,12970982
4/11/2025,142419,105034,1804583,1495299,2167929,1991681,105970,27969,475,40349,0,0,52112,153346,954325,987474,522031,465574,725736,705850,90839,51502.7,-0.001836081,13.755,0,14661136
4/15/2025,133789,101001,2288549,2173096,2479855,2362416,106919,27878,475,42667,0,0,56255,143602,906456,872292,707648,634744,799706,655727,93742,49860.1,-0.03241315,22.7925,0,17181812
4/16/2025,130774,99694,2296746,2463343,2644240,2722095,107318,27778,475,51067,0,0,56156,142225,936773,871790,632071,548563,842386,680172,91389,50511,0.012970051,20.4425,0,18217874
4/17/2025,126867,110606,1477989,1834799,1754932,2053227,106642,28553,475,50567,0,0,60033,143306,698180,726542,468658,470026,934660,725069,92239,50240.15,-0.005376627,21.43,0,13794886
4/21/2025,131978,123879,2267215,2724059,2402285,2764331,105535,28593,475,59762,0,0,66585,143855,898066,900352,729136,727194,858258,764166,93853,51002.35,0.015057202,20.1075,0,18634482
4/22/2025,136665,132995,2586151,2966124,2699349,3024276,104170,31758,525,62302,0,0,67276,145611,927915,995954,770274,835070,859573,879925,95136,52379.5,0.026643583,16.125,0,20420232
4/23/2025,136201,133225,2916499,3184366,3014828,3216097,103982,33461,499,71002,0,0,68912,139683,1068507,1119334,922454,1020109,865701,980385,93222,53117.75,0.013995854,15.865,0,22780916
4/24/2025,107750,128621,1168353,1215752,1364754,1392905,101735,33923,70,44614,0,0,55516,80356,386837,428577,190827,250793,957306,1108754,94677,54290.2,0.021832584,15.4675,0,9184276
4/25/2025,111063,128604,1965180,1624557,2067752,1703225,98422,33846,70,50715,0,0,53607,88833,496666,523402,460503,517043,1227223,1442425,112786,55304.5,0.018510548,15.515,0,13100582
4/28/2025,116102,143073,2023923,2316875,2173469,2269252,91782,38293,70,50715,0,0,62890,85666,539129,709134,494406,746096,1375783,1591443,123313,55647.2,0.006177482,15.23,0,15587768
4/29/2025,118393,142096,2640241,2433931,2673642,2388692,88477,44123,70,46215,0,0,69575,87472,691391,712810,709186,758885,1643084,1707866,118353,55370.05,-0.004992928,15.96,0,17746060
4/30/2025,115435,145270,1268603,1392617,1558410,1561814,87283,45848,70,46215,0,0,75093,85093,472395,471444,278615,383056,1753863,1920713,123804,55201.4,-0.003050519,16.25,0,10905364
5/2/2025,115991,142938,1947661,1677775,2116218,1816322,84312,42617,230,42515,0,0,76566,85054,615810,568051,541595,531700,516193,532607,86864,54664.05,-0.009782043,17.1575,0,13727136
5/5/2025,117710,144584,2397309,2267613,2483885,2210940,84314,43812,230,42515,0,0,79468,84337,688615,586039,691644,671275,578108,594621,89252,55432.8,0.013965204,16.94,0,16622380
5/6/2025,113610,143841,2657939,2227468,2812231,2349332,82591,43812,70,56326,0,0,84387,87034,751542,695590,714046,690667,630328,596561,86664,55391.25,-0.000749837,17.37,0,17962658
5/7/2025,115376,137177,2736527,2501876,2915391,2573860,76784,41984,70,53282,0,0,83473,83015,785188,772772,754996,786397,665547,626183,84522,55087.15,-0.005505162,18.2225,0,19275762
5/8/2025,107666,142248,1459088,1257880,1805140,1578703,76763,34315,70,58097,0,0,89606,82142,611997,724421,338540,459529,683948,642159,83290,55115.35,0.000511785,18.2575,0,11960258
5/9/2025,112445,132935,1821662,1474914,2093467,1692385,86635,27456,70,58497,0,0,77186,84606,704650,720011,526867,531066,734724,679403,81060,54919.5,-0.003559785,18.3375,1,13509112
5/12/2025,125063,143176,1784929,2192007,2118624,2416587,83392,30566,70,52649,0,0,80301,80148,774531,869014,566411,687352,788636,683330,76646,54271.4,-0.011871092,18.995,0,16242080
5/13/2025,146838,124763,2790323,2110138,2941706,2371495,83800,35187,70,48678,0,0,54961,91461,833886,956897,707625,787025,795299,685144,71514,54610.9,0.006236112,19.06,0,18693742
5/14/2025,138345,122578,2952350,2416037,3201441,2629415,83742,35321,70,48637,0,0,56759,91562,825042,945278,685504,797779,812326,681441,72324,54365.65,-0.004500976,21.0075,0,19874438
5/15/2025,136977,135823,1603399,1734767,1845757,1938390,79399,48751,70,45637,0,0,70023,83544,608418,729360,423710,526196,870667,670161,68788,53595.25,-0.014272076,21.6325,0,13077204
5/16/2025,143410,132309,2109364,1931880,2325031,2125888,79181,47151,70,46637,0,0,64538,87773,702642,762939,535494,595298,835395,754778,73231,55382.85,0.032809534,18.3925,0,15152288
5/19/2025,143387,134331,2606760,2082088,2764459,2275405,79421,48216,70,49037,0,0,64745,88243,799875,774956,640653,595415,885273,737687,68573,54940.85,-0.008012827,18.2,0,17015988
5/20/2025,162424,127201,3137464,2121934,3362991,2370569,82434,65752,70,47437,0,0,55387,94135,871660,827213,698940,627682,937376,772136,69603,54801.3,-0.002543236,17.225,0,19174660
5/21/2025,169860,126290,3021900,2299671,3436940,2639709,82436,82511,70,48254,0,0,55963,93552,851774,912881,571854,630033,883118,821890,73399,55355.6,0.010063912,16.8925,0,19652056
5/22/2025,180017,115177,1970309,1564460,2126466,1848530,82701,85858,70,48254,0,0,48897,104206,604318,689688,437499,459545,900607,808430,70318,55354.9,-1.26E-05,16.55,0,13401556
5/23/2025,177228,118281,1995255,2056941,2432302,2386341,82709,88923,70,48654,0,0,52567,106764,712928,762030,468598,516600,960850,838272,73108,55420.7,0.001187987,17.355,0,15766798
5/26/2025,178404,120087,2111432,2149226,2649198,2622688,79474,92523,70,45628,0,0,58418,109730,838650,881553,477265,520078,1044826,804159,72668,54877.35,-0.009852475,17.385,0,17119590
5/27/2025,181980,116169,2640473,2013001,3229501,2633663,83097,73308,70,45335,0,0,56668,124087,1006189,1005050,623927,557185,1044135,828054,72613,55075.1,0.003597013,17.5475,0,19209302
5/28/2025,190883,118440,3282376,2281756,3428797,2508601,83883,71408,70,45335,0,0,53684,132671,766906,841639,647527,678614,1059451,824914,72070,54941.3,-0.002432366,17.2575,0,19899056
5/29/2025,163518,105626,1395059,1092250,1495661,1296173,76697,40378,70,10901,0,0,25371,103334,289700,333194,223969,208425,1056007,948025,70988,55398.25,0.008282662,17.2775,0,8930176
5/30/2025,171398,109608,1936644,1391621,2173570,1690989,77035,41978,70,10901,0,0,26158,109842,435738,451396,303930,282038,1088500,967104,72155,55572,0.003131472,18.02,0,12077584
6/2/2025,172394,110418,2044640,1596213,2504714,1991592,77035,36606,70,10901,0,0,26663,115729,547183,579674,343040,317347,1170733,1024211,71981,55352.8,-0.003952232,18.535,0,14047360
6/3/2025,181370,111981,2920416,1719103,3187497,2025650,80002,34766,70,10901,0,0,25786,128940,582147,634210,452500,432941,1148553,972999,76143,55417,0.001159161,18.0175,0,16720376
6/4/2025,184832,116197,2919692,1981635,3222588,2219805,79608,35017,70,10901,0,0,26924,129859,552207,612458,452628,477037,1260820,1033826,79163,55546.05,0.002326001,16.42,0,17579954
6/5/2025,189297,120628,1500648,1303689,1674288,1542909,78032,38942,70,10901,0,0,26304,133292,434801,493695,312936,326561,391262,408273,65689,55749.7,0.003659623,16.0775,0,10831318
6/6/2025,188351,126827,1772897,1966876,2095347,2138360,79043,39677,70,11201,0,0,33228,125958,539142,541230,391131,398827,446021,460851,66178,55903.4,0.002753172,17.1575,0,13995074
