Model,Dependent_Variable,Independent_Variable,Coefficient,Std_Error,t_value,p_value,CI_Lower,CI_Upper,Significant_5%,Significant_10%,Is this model significant overall (F-test p<0.05)?
X2: Lagged Effects,Retail_Share,NSE VIX - India,-1.3032283805479778,0.46479297763789984,-2.803889996727246,0.005609581012418467,-2.2204419597483946,-0.38601480134756083,Yes,Yes,Yes
X2: Lagged Effects,Retail_Share,Returns_Lag1,-0.24180627267385324,0.15667299747200977,-1.5433819265317423,0.12451409636713222,-0.5509817716361298,0.0673692262884234,No,No,Yes
X2: Lagged Effects,Retail_Share,VIX_Lag1,-0.15133653047921491,0.4655654928730499,-0.3250595948280069,0.7455177088408601,-1.0700745764807866,0.7674015155223568,No,No,Yes
X2: Lagged Effects,Retail_Short_Ratio,DayOfWeek,0.0010415706771808586,0.0005589537032067086,1.8634292450437022,0.0640491284463006,-6.145787830854829e-05,0.0021445992326702655,No,Yes,Yes
X2: Lagged Effects,Retail_Short_Ratio,NSE VIX - India,0.004165254924148487,0.002325770731447429,1.7909138109912779,0.07500636604558282,-0.0004243765884265043,0.008754886436723478,No,Yes,Yes
X2: Lagged Effects,Retail_Short_Ratio,Returns_Lag1,-0.00144579291512284,0.0007839737032610988,-1.8441854734524499,0.06681828642786845,-0.002992871638259908,0.00010128580801422823,No,Yes,Yes
X2: Lagged Effects,Retail_Short_Ratio,VIX_Lag1,-0.001972542043317635,0.0023296363090485367,-0.8467167324170247,0.3982899571564247,-0.006569801812853838,0.0026247177262185683,No,No,Yes
X2: Lagged Effects,Retail_Put_Share,DayOfWeek,-0.0009377940354721418,0.0025221574515290916,-0.37182216157979814,0.7104675141558229,-0.005914971348220263,0.0040393832772759805,No,No,No
X2: Lagged Effects,Retail_Put_Share,NSE VIX - India,-0.006761775859154426,0.010494536394008089,-0.6443139177653524,0.5202013094116333,-0.02747149341322683,0.01394794169491798,No,No,No
X2: Lagged Effects,Retail_Put_Share,Returns_Lag1,0.001803256032192873,0.003537511436348071,0.509752707415825,0.6108561585073918,-0.005177601429304732,0.008784113493690477,No,No,No
X2: Lagged Effects,Retail_Put_Share,VIX_Lag1,0.006519177851603719,0.010511978975200707,0.6201665611188352,0.5359412777855064,-0.014224960558841086,0.027263316262048524,No,No,No
X3: Market Stress,Retail_Share,DayOfWeek,-0.16304549276587887,0.11846263498885165,-1.3763453158139092,0.1704436965732227,-0.39681739265952576,0.07072640712776801,No,No,Yes
X3: Market Stress,Retail_Share,NSE VIX - India,-1.4227035617247612,0.19424016866287333,-7.3244559635552555,8.012812073916586e-12,-1.8060133983517752,-1.0393937250977472,Yes,Yes,Yes
X3: Market Stress,Retail_Share,Returns - BANK NIFTY INDEX,-0.14917658529004996,0.17875693216106942,-0.8345219594372653,0.40510551436562114,-0.5019320989115863,0.2035789283314864,No,No,Yes
X3: Market Stress,Retail_Share,Market_Stress,-0.2853934968541534,0.6830121758567899,-0.41784540150568716,0.6765637664054969,-1.6332366713332762,1.0624496776249694,No,No,Yes
X3: Market Stress,Retail_Share,VIX_Spike,0.42909270948730516,0.41862079739877006,1.025015269555659,0.30674694550192033,-0.39700557164677175,1.255190990621382,No,No,Yes
X3: Market Stress,Retail_Short_Ratio,DayOfWeek,0.001329012419455768,0.0006135591749889534,2.1660704845293783,0.03163572958720452,0.00011822646954131222,0.002539798369370224,Yes,Yes,Yes
X3: Market Stress,Retail_Short_Ratio,NSE VIX - India,0.001925225019927028,0.0010060373690465637,1.913671478974575,0.05726676625645111,-6.006989731125508e-05,0.003910519937165311,No,Yes,Yes
X3: Market Stress,Retail_Short_Ratio,Returns - BANK NIFTY INDEX,-0.0011306964975028762,0.0009258443038230891,-1.2212598736460234,0.22360273635510092,-0.0029577399524353355,0.0006963469574295831,No,No,Yes
X3: Market Stress,Retail_Short_Ratio,Market_Stress,0.0003666957445522239,0.0035375575358891844,0.10365788848153756,0.9175575441182031,-0.0066142526888987845,0.007347644178003232,No,No,Yes
X3: Market Stress,Retail_Short_Ratio,VIX_Spike,-0.00015488044709508625,0.0021681826603753905,-0.07143330215004619,0.9431331024250141,-0.004433530671953892,0.004123769777763719,No,No,Yes
X3: Market Stress,Retail_Put_Share,DayOfWeek,-0.0009317451162029321,0.0026689557304136087,-0.349104747443128,0.7274232992233524,-0.006198611346973016,0.004335121114567152,No,No,No
X3: Market Stress,Retail_Put_Share,NSE VIX - India,-0.0013218756198939306,0.0043762188075427266,-0.3020588498947044,0.7629598398240989,-0.009957822178788635,0.0073140709390007745,No,No,No
X3: Market Stress,Retail_Put_Share,Returns - BANK NIFTY INDEX,0.0042197477492810255,0.004027382461037961,1.0477643457267993,0.29616780249300534,-0.0037278118301914184,0.01216730732875347,No,No,No
X3: Market Stress,Retail_Put_Share,Market_Stress,0.004060673264810101,0.015388221449462103,0.263881909819542,0.7921761689864942,-0.02630614885225208,0.03442749538187228,No,No,No
X3: Market Stress,Retail_Put_Share,VIX_Spike,-0.0010862775211067863,0.009431500288617651,-0.11517547451254957,0.9084358611271885,-0.01969821994096871,0.017525664898755136,No,No,No
X4: Expiry Dynamics,Retail_Share,DayOfWeek,-0.0012242075326519553,0.1507702851685197,-0.008119687054273513,0.9935305912322276,-0.2987514068446436,0.29630299177933966,No,No,Yes
X4: Expiry Dynamics,Retail_Share,NSE VIX - India,-1.4472252198500142,0.1563735156143648,-9.254925389149907,6.772662759471782e-17,-1.7558097270379482,-1.1386407126620801,Yes,Yes,Yes
X4: Expiry Dynamics,Retail_Share,Returns - BANK NIFTY INDEX,-0.197577662921824,0.15637887851536322,-1.2634549166587945,0.20807804332007687,-0.5061727531560956,0.11101742731244763,No,No,Yes
X4: Expiry Dynamics,Retail_Share,Days_To_Expiry,-0.10614199509553868,0.09318589923702589,-1.1390349394553558,0.2562191570605626,-0.290033267731738,0.0777492775406606,No,No,Yes
X4: Expiry Dynamics,Retail_Share,is_expiry,-0.5259438003922252,0.8929346487637541,-0.5890059268283311,0.5566040497728394,-2.2880439709819944,1.236156370197544,No,No,Yes
X4: Expiry Dynamics,Retail_Short_Ratio,DayOfWeek,6.389254694742167e-05,0.0007692670653794624,0.08305639201634726,0.9339000281601667,-0.0014541643780592779,0.0015819494719541212,No,No,Yes
X4: Expiry Dynamics,Retail_Short_Ratio,NSE VIX - India,0.002000756800130693,0.000797856124801233,2.50766615425699,0.013048108425667703,0.0004262827716396023,0.0035752308286217836,Yes,Yes,Yes
X4: Expiry Dynamics,Retail_Short_Ratio,Returns - BANK NIFTY INDEX,-0.0010877071103043007,0.0007978834876407234,-1.3632405321741425,0.17452856162354186,-0.0026622351360998976,0.0004868209154912965,No,No,Yes
X4: Expiry Dynamics,Retail_Short_Ratio,Days_To_Expiry,0.0011323954170289682,0.00047545736987025827,2.381697053803107,0.018287994538468553,0.00019413693000927058,0.0020706539040486658,Yes,Yes,Yes
X4: Expiry Dynamics,Retail_Short_Ratio,is_expiry,0.0006223878675320205,0.004555972127149345,0.13660923512309683,0.8914940619330332,-0.008368280456926855,0.009613056191990895,No,No,Yes
X4: Expiry Dynamics,Retail_Put_Share,DayOfWeek,-0.0025097558550808297,0.0033947890581145844,-0.7392965548424122,0.4607007590441249,-0.009208967703004823,0.0041894559928431635,No,No,No
X4: Expiry Dynamics,Retail_Put_Share,NSE VIX - India,-0.0006168316955300372,0.0035209530790049634,-0.17518884281876215,0.861130371723299,-0.007565013211101059,0.006331349820040985,No,No,No
